Structures,Volume in nm3
GELVEZ02_clean.cif,0.9
GELVEZ_clean.cif,0.9
GELVID01_clean.cif,1.6
GELVID_clean.cif,0.8
GENGIR_clean.cif,3.6
GEPDEM_clean.cif,1.5
GEPDIQ_clean.cif,5.6
GERNOI_clean.cif,5.2
GERPUP_clean.cif,3.3
GERWEH_clean.cif,2.8
GERWIL_charged.cif,5.6
GERWOR_charged.cif,5.9
GESBOW_charged.cif,14.6
GESBUC_charged.cif,13.9
GESDUF_clean.cif,2.1
GESFAN_clean.cif,2.1
GESNIC_clean.cif,4.7
GESNOI_clean.cif,4.6
GETXAG01_clean.cif,1.9
GETXAG_clean.cif,1.9
GETXEK_clean.cif,2.8
GEVKID_clean.cif,2.4
GEVXAI_clean.cif,1.3
GEVXIQ_clean.cif,1.5
GEVYEN_clean.cif,1.9
GEWXAJ_clean.cif,2.0
GEYFIB_clean.cif,8.5
GEZFIC_charged.cif,6.0
GEZFOI_charged.cif,1.9
GEZRAG_clean.cif,18.5
GEZYOB_clean.cif,5.0
GEZYUH_clean.cif,5.0
GEZZAO_clean.cif,5.0
GIDKOU_clean.cif,3.6
GIFFAE_clean.cif,2.2
GIFFEI_clean.cif,2.2
GIFKAH_clean.cif,0.5
GIFKEL_clean.cif,0.5
GIFKIP_clean.cif,0.5
GIFSOF_clean.cif,5.8
GIGWID01_clean.cif,1.8
GIHBII_clean.cif,1.4
GIHPAQ_clean.cif,2.5
GIHPEU_clean.cif,2.6
GIJXAA_clean.cif,5.8
GIKMOD01_clean.cif,1.3
GIKMOD02_clean.cif,1.4
GIKMOD03_clean.cif,1.3
GIKMOD04_clean.cif,1.4
GIKMOD05_clean.cif,1.4
GIKMOD06_clean.cif,1.4
GIKMOD07_clean.cif,1.4
GIKMOD08_clean.cif,1.4
GIKMOD09_clean.cif,1.4
GIKMOD10_clean.cif,1.4
GIKMOD11_clean.cif,1.4
GIKMOD12_clean.cif,1.4
GIKMOD_clean.cif,1.4
GIKQIC_clean.cif,1.8
GIMHAM_clean.cif,1.5
GIMSIG_clean.cif,1.6
GIMSUS_clean.cif,1.5
GIMVAA_clean.cif,1.3
GINDEO_clean.cif,7.4
GINLIA_clean.cif,3.3
GINNUO_clean.cif,8.1
GINPAW_clean.cif,8.5
GIQXEK_clean.cif,1.5
GIQXIO_clean.cif,1.4
GIQXOU_clean.cif,1.4
GIQXUA_clean.cif,1.4
GIQYAH_clean.cif,1.4
GIQYEL_clean.cif,1.5
GIQYIP_clean.cif,1.5
GIQYOV_clean.cif,1.6
GIQYUB_clean.cif,1.4
GIQZIQ_clean.cif,2.5
GIRDUI_clean.cif,1.7
GIRFUJ_clean.cif,1.2
GIRGUL_clean.cif,1.6
GIRHEW_clean.cif,2.6
GIRXUC_clean.cif,2.9
GIRYAJ_clean.cif,8.6
GIRYEN_clean.cif,5.4
GIRYIR_clean.cif,2.7
GIRYOX_clean.cif,2.7
GIRYUD_clean.cif,5.4
GIRZAK_clean.cif,2.8
GISMAY_clean.cif,13.8
GISMIG_clean.cif,2.4
GISWEM_clean.cif,4.6
GISZUD_clean.cif,1.0
GISZUF_clean.cif,6.5
GITPEG_clean.cif,7.2
GITPIK_clean.cif,4.0
GITSUY_clean.cif,14.3
GITTIN.cif,5.2
GITTOT01_clean5b.cif,3.2
GITTOT01_manual.cif,3.2
GITTOT_clean5b.cif,3.2
GITTOT_manual.cif,3.2
GITTUZ_clean.cif,13.1
GITVAH01_clean.cif,13.2
GITVAH_clean.cif,13.2
GITVEL01_clean.cif,13.1
GITVEL_clean.cif,13.1
GITWIQ_clean.cif,3.5
GITZAM_clean.cif,2.9
GIVDUL.cif,5.6
GIVHIC_clean.cif,9.1
GIVNIK_clean.cif,10.9
GIVNOQ_clean.cif,10.6
GIWBEU_charged.cif,6.8
GIWBIY_charged.cif,7.1
GIWBOE_charged.cif,11.5
GIWCAR_ion_b.cif,9.2
GIWCOF_ion_b.cif,9.9
GIWMOP.cif,2.4
GIWNUV_clean.cif,2.6
GIXGOK_clean.cif,17.8
GIXMUX_clean.cif,3.9
GIXNAE_clean.cif,2.7
GIYSAJ02_clean.cif,5.6
GIYSAJ_clean.cif,6.2
GIYSEN_clean.cif,2.1
GIYSIR_clean.cif,2.1
GIYSOX_clean.cif,2.1
GIYSUD_clean.cif,1.5
GIYTAK_clean.cif,1.6
GIYTIS_SL.cif,1.6
GIYTIS_clean.cif,1.6
GIZJOP_clean.cif,4.5
GIZVER_clean.cif,2.1
GIZXET_clean.cif,8.0
GOBGAG_clean.cif,17.7
GOBSUM_clean.cif,5.4
GOBTAT_clean.cif,7.4
GOBXAY_clean.cif,3.9
GOFDAH.cif,5.6
GOGSIF_clean.cif,4.6
GOGWAB_clean.cif,1.2
GOGWEF_clean.cif,1.2
GOJDOZ_clean.cif,0.9
GOJFAN_charged.cif,11.5
GOKBUE_clean.cif,1.3
GOLDAO_clean.cif,4.7
GOLQII_clean.cif,2.0
GOLYOX_clean.cif,4.5
GOLYUD_clean.cif,4.6
GOMFOF_clean.cif,16.7
GOMPOO_clean.cif,1.4
GOMRAC_clean.cif,1.5
GOMREG_clean.cif,1.5
GONNAA_clean.cif,5.1
GONSUZ_clean.cif,1.5
GONTAG_clean.cif,1.5
GOPLUS_clean.cif,3.4
GOPTIQ_clean.cif,4.8
GOQSIQ_clean.cif,13.2
GOQTIR_clean.cif,1.6
GOQWOY_clean.cif,4.3
GOQXAN_clean.cif,1.5
GORJEE_clean.cif,4.8
GORQAF_clean.cif,1.0
GORWUF_clean.cif,1.0
GOSBOH_clean.cif,3.4
GOSDEZ_clean.cif,9.7
GOSDID_clean.cif,7.6
GOSKEG_clean.cif,8.8
GOSRIP_clean.cif,3.4
GOTDIE_clean.cif,7.2
GOTNEK_clean.cif,8.5
GOVHOQ_clean.cif,3.5
GOVWOF_clean.cif,11.5
GOVXIA_clean.cif,5.8
GOWHOR_clean.cif,2.2
GOXGAD_clean.cif,1.2
GOXMEN_clean.cif,2.9
GOYPAN_clean.cif,0.8
GOYPER_clean.cif,0.9
GOYXAV_clean.cif,1.9
GOYXEZ_clean.cif,1.9
GOYXID_clean.cif,1.9
GOYXOJ_clean.cif,1.9
GOYXUP_clean.cif,1.9
GOYYAW_clean.cif,1.9
GOYYEA_clean.cif,1.9
GOYYIE_clean.cif,1.9
GOZNAM_clean.cif,5.7
GOZNEQ_clean.cif,3.1
GUANZS_clean.cif,1.3
GUBBAG_clean.cif,3.3
GUBKUL_clean.cif,6.1
GUBSED_clean.cif,3.6
GUBVUU_clean.cif,2.7
GUBZAF_clean.cif,4.1
GUCHUJ_clean.cif,0.8
GUCJAQ_clean.cif,4.1
GUDJOG_clean.cif,9.9
GUFBOA_clean.cif,2.2
GUFBUG_clean.cif,8.6
GUFREF_clean.cif,3.7
GUFXEM_clean.cif,5.0
GUGNON_clean.cif,3.5
GUGXOX_clean.cif,1.8
GUHGOH_clean.cif,2.9
GUHNUU_clean.cif,10.2
GUHPAC_clean.cif,10.1
GUHPEG_clean.cif,7.9
GUJGAU_clean.cif,2.8
GUJGEY_clean.cif,2.7
GUJREK01_clean.cif,6.6
GUJREK_clean.cif,6.6
GUJTOV_clean.cif,1.8
GUJVIR_clean.cif,1.2
GUJVOX_clean.cif,1.2
GUKCIA_clean.cif,16.0
GUKFEY_clean.cif,8.1
GUKNIK_clean.cif,0.7
GUKXIU_clean.cif,2.0
GUKYUI_clean.cif,1.3
GUKZAO_clean.cif,1.6
GULBAR_clean.cif,2.9
GULCAS_clean.cif,1.9
GULGEZ_clean.cif,2.7
GULPIN_clean.cif,2.2
GULVUF_clean.cif,17.3
GULWAM_clean.cif,14.1
GULWIU_clean.cif,16.5
GULWOA_clean.cif,4.2
GUMBIA_clean.cif,5.8
GUMDEZ_clean.cif,1.6
GUNFAW01_clean.cif,3.7
GUNFAW01_neutral.cif,3.7
GUNZIA_clean.cif,10.5
GUPBEZ.cif,5.2
GUPBIE_clean.cif,13.1
GUPBOJ01_clean.cif,7.3
GUPBUP_SL.cif,3.9
GUPBUP_clean5b.cif,3.9
GUPBUP_manual.cif,3.9
GUPCAW_clean.cif,10.7
GUPCUQ01.cif,5.9
GUPDEB_clean.cif,18.4
GUPJEG01_clean.cif,0.8
GUPJEG_clean.cif,0.8
GUPNUC01_clean.cif,1.1
GUPNUC_clean.cif,1.0
GUPREQ_clean.cif,5.0
GUQTOB_clean.cif,0.5
GUQWOG_clean.cif,7.8
GURPIT_clean.cif,6.9
GURPOZ_clean.cif,6.9
GURPUF_clean.cif,7.1
GURTIX_charged.cif,6.8
GURZID01_clean.cif,1.2
GURZID_clean.cif,1.2
GUSCIH_clean.cif,1.2
GUSJOU_clean.cif,2.5
GUSMAJ_clean.cif,13.5
GUSNEN01_SL.cif,1.0
GUSNEN01_clean.cif,0.6
GUSNEN_SL.cif,1.0
GUSNEN_clean.cif,0.6
GUSNEN_clean_h.cif,0.6
GUTYIE_clean.cif,1.9
GUVBEF_clean.cif,3.1
GUVBOQ_clean.cif,17.6
GUVCOP_clean.cif,9.4
GUVKUE_clean.cif,17.1
GUVLAL_clean.cif,17.4
GUVZII_clean.cif,4.6
GUWDUY_clean.cif,2.6
GUXJUF_clean.cif,8.4
GUXLIU_clean.cif,0.5
GUXPOF_clean.cif,2.2
GUXQAR_clean.cif,0.4
GUXRAT_clean.cif,7.7
GUXSEY_clean.cif,8.5
GUXSIC_clean.cif,8.2
GUXZIJ_clean.cif,1.8
GUXZUV_clean.cif,1.3
GUYBAE_clean.cif,3.3
GUYLOC_clean.cif,2.8
GUYLUI01_clean.cif,1.9
GUYLUI_clean.cif,1.8
GUYMAP_clean.cif,2.8
GUZVOO_clean.cif,12.1
HABCEV_clean.cif,10.6
HABCIZ_clean.cif,10.3
HABCOF_clean.cif,10.4
HABDAS_clean.cif,10.4
HABKOM_clean.cif,1.5
HABREJ_clean.cif,9.2
HABRIN_clean.cif,2.8
HABRUZ_clean.cif,2.5
HABZEQ_clean.cif,1.2
HACDOH_clean.cif,14.4
HACDUN_clean.cif,14.4
HACRAH_clean.cif,14.3
HACREL_clean.cif,14.2
HADDOI_clean.cif,4.9
HADLOQ01_clean.cif,2.5
HADPOU_clean.cif,0.4
HADQUA_clean.cif,13.0
HADXIW_clean.cif,0.7
HADXOC_clean.cif,0.5
HADYAP_clean.cif,0.7
HAFDUQ_clean.cif,16.0
HAFFAY_clean.cif,15.9
HAFFEC_clean.cif,16.0
HAFGUQ_clean.cif,1.2
HAFQOW_clean.cif,1.5
HAFQUC_clean.cif,1.5
HAFSOZ_clean.cif,2.4
HAFTOZ_clean.cif,6.6
HAFVOB_clean.cif,6.2
HAFVUH_SL.cif,2.9
HAFVUH_clean.cif,1.9
HAFWAO_charged.cif,10.4
HAFWIW_clean.cif,10.0
HAFWUI01_charged.cif,2.8
HAFWUI_charged.cif,2.8
HAFWUI_clean.cif,2.8
HAHCUR_clean.cif,5.1
HAHPIQ_charged.cif,5.7
HAHPOW_clean.cif,5.7
HAJDII_clean.cif,6.1
HAJJAE_clean.cif,1.0
HAJLEK_clean.cif,2.5
HAJLIO_clean.cif,2.5
HAJLOU_clean.cif,2.5
HAJLUA_clean.cif,2.5
HAJMAH_clean.cif,2.5
HAJMEL_clean.cif,2.5
HAJMIQ_clean.cif,18.4
HAJPEQ_clean.cif,5.4
HAJYEZ_clean.cif,1.4
HAKCAZ_clean.cif,10.2
HAKCIG_clean.cif,3.6
HAKSAQ_clean.cif,3.5
HAKSEU_clean.cif,3.6
HAKSIY_clean.cif,3.4
HAKSOE_clean.cif,3.6
HAKTAR_clean.cif,3.6
HAKTOF_clean.cif,3.5
HAKVAT_clean.cif,3.5
HAKVEX_clean.cif,4.5
HAKVOH_clean.cif,4.1
HAKVUN_clean.cif,2.8
HAKWAU_clean.cif,2.6
HAKWUM_clean.cif,0.3
HALQUJ_clean.cif,3.5
HALVAU_clean.cif,2.0
HAMJOW_clean.cif,2.7
HAMJUC_clean.cif,14.4
HAMLAL_clean.cif,3.6
HAMLIT_clean.cif,5.3
HAMREU_clean.cif,2.7
HAMRIY_clean.cif,2.5
HANWAW_clean.cif,14.5
HAOAER_clean.cif,0.8
HAPBAE_clean.cif,9.3
HAPBEI_clean.cif,9.3
HAPGIR_clean.cif,3.0
HAPHUD_clean.cif,6.7
HAPNEU_clean.cif,9.3
HAPNOE_clean.cif,4.2
HAPNUK_clean.cif,4.2
HAPPAS_clean.cif,4.1
HAPVAX_clean.cif,2.4
HAPVEB_clean.cif,2.4
HAQJIV_clean.cif,13.0
HAQKES_clean.cif,19.4
HAQRID_clean.cif,8.6
HARGUC_clean.cif,2.5
HARHOA_clean.cif,7.9
HARHUG_clean.cif,8.0
HARNAR_clean.cif,4.1
HASMIZ_clean.cif,3.6
HASNIB_clean.cif,2.5
HASNOH_clean.cif,2.5
HASNUN_clean.cif,2.6
HASTAY_clean.cif,8.7
HATZOS02_clean.cif,2.9
HATZOS_clean.cif,2.9
HAVVUX_clean.cif,4.8
HAVYOU_clean.cif,5.8
HAVZIP_clean.cif,5.7
HAWGIX_charged.cif,4.9
HAWGIY_clean.cif,2.8
HAWREE_clean.cif,2.8
HAWVAE_clean.cif,2.3
HAWVEI_clean.cif,2.3
HAWVIM_clean.cif,2.3
HAWVOS_clean.cif,2.2
HAWVUY_clean.cif,2.3
HAWWAF_clean.cif,2.2
HAWWEJ_charged.cif,2.6
HAWWEK_clean.cif,3.6
HAWWIN_clean.cif,5.2
HAWWOT_clean.cif,5.3
HAWWOU_clean.cif,6.7
HAWWUZ_clean.cif,5.3
HAWYUB_clean.cif,1.5
HAWZEM_clean.cif,1.8
HAWZIQ_clean.cif,2.6
HAXJEX_clean.cif,2.1
HAXMUP_clean.cif,2.1
HAXNOJ_clean.cif,3.7
HAYLIE_clean.cif,3.0
HAYTEI_clean.cif,3.6
HAZGOF01_clean.cif,1.7
HAZGOF01_clean_h.cif,1.7
HAZGOF02_clean_h.cif,1.7
HAZGOF03_clean_h.cif,1.7
HAZGOF04_clean_h.cif,1.7
HAZGOF05_clean_h.cif,1.7
HAZGOF06_clean_h.cif,1.7
HAZGOF07_clean_h.cif,1.7
HAZGOF08_clean_h.cif,1.7
HAZGOF_clean.cif,1.7
HAZNED_clean.cif,4.0
HAZNIH_clean.cif,4.0
HAZNON_clean.cif,2.0
HAZSIL_clean.cif,2.4
HAZWIP_clean.cif,3.4
HEBGUS_clean.cif,2.7
HEBJAB_clean.cif,1.9
HEBKEG_clean.cif,1.5
HEBNIN_clean.cif,2.9
HEBNOT_clean.cif,3.1
HEBPUB_charged.cif,5.1
HEBTAL_clean.cif,1.5
HEBTEP_clean.cif,1.5
HEBZAR.cif,6.0
HEBZEV.cif,6.0
HEDBEZ_clean.cif,1.7
HEDBID_clean.cif,1.7
HEDBOJ_clean.cif,2.8
HEDBUP_clean.cif,2.8
HEDCAW_clean.cif,5.3
HEDCEA_clean.cif,4.2
HEDCIE_clean.cif,5.9
HEDGUS_clean.cif,1.0
HEDTER_clean.cif,4.3
HEFDED_clean.cif,17.0
HEFDIH_clean.cif,4.0
HEFDON_clean.cif,3.7
HEFDON_ion_b.cif,3.7
HEFDUT_charged.cif,8.0
HEFFAB_charged.cif,8.1
HEFFEF_clean.cif,3.7
HEFFEF_ion_b.cif,3.7
HEFVAR_clean.cif,4.0
HEGCEB_clean.cif,1.2
HEGJUZ_clean.cif,6.5
HEGKAP_clean.cif,4.2
HEGNAJ_clean.cif,7.6
HEGNEN_clean.cif,7.6
HEGNIR_clean.cif,7.6
HEGNOX_clean.cif,7.6
HEGNUD_clean.cif,7.6
HEGPAL_clean.cif,7.6
HEHCOO_clean.cif,11.1
HEJHAH_charged.cif,3.8
HEKTAU_clean.cif,3.1
HEKTUO01_clean.cif,3.8
HEKTUO_clean.cif,2.1
HELCUY_clean.cif,1.9
HELDEJ_SL.cif,2.1
HELDEJ_clean.cif,2.1
HELDOT_clean.cif,8.5
HEMTEZ_clean.cif,10.2
HEMVEB_clean.cif,2.0
HEMVIF_clean.cif,1.0
HENYUV_clean.cif,1.0
HESVOR_clean.cif,1.0
HETDUG_clean.cif,2.1
HETZOW_clean.cif,4.3
HETZUC_charged.cif,4.3
HEWFUL_ion_b.cif,4.7
HEXNII_clean.cif,0.9
HEXNOO_clean.cif,6.4
HEXNUU_clean.cif,4.8
HEYBIX_clean.cif,4.2
HEYFUM_clean.cif,1.4
HEZKIH_clean.cif,3.1
HEZNUW_clean.cif,1.3
HEZPIL01_clean.cif,1.5
HEZSAG_clean.cif,1.8
HEZSEK_clean.cif,1.8
HGCNCO_clean.cif,2.1
HIBGEF_clean.cif,1.6
HIBGIJ_clean.cif,1.7
HIBQUE_clean.cif,0.9
HICGEG_clean.cif,18.3
HICVOG_clean.cif,3.0
HICVUM_clean.cif,3.4
HICWIB_clean.cif,1.7
HICZAW_clean.cif,4.0
HICZEA_clean.cif,4.1
HICZIE_clean.cif,4.0
HIDBIH_clean.cif,4.2
HIDBON_clean.cif,1.7
HIDCUU_clean.cif,4.0
HIDDAB_clean.cif,4.0
HIDMEO_clean.cif,1.4
HIFGEK_clean.cif,11.8
HIFGIO_SL.cif,2.2
HIFGIO_clean.cif,2.2
HIFGOU_clean.cif,1.7
HIFTOG01_clean.cif,6.1
HIFTOG02_clean.cif,6.2
HIFTOG_clean.cif,6.2
HIFTUM_clean.cif,3.3
HIFVOI_clean.cif,6.2
HIFVUO.cif,6.5
HIFVUO01_clean.cif,3.1
HIFWAV_clean.cif,5.8
HIFZAY_charged.cif,3.8
HIGRIA_clean.cif,6.0
HIHFOV_clean.cif,2.1
HIHFUB_clean.cif,8.6
HIHGAI_clean.cif,7.8
HIHGEM_clean_b.cif,13.9
HIHGEM_manual.cif,13.9
HIHGIQ_clean.cif,6.8
HIHGOW_clean.cif,6.8
HIHGUC_clean.cif,7.3
HIHJUF.cif,3.6
HIHNUJ_clean.cif,3.6
HIJMEU_clean.cif,3.2
HIJSOK_clean.cif,5.9
HILJUJ_clean.cif,2.4
HIMSAY_clean.cif,2.1
HIQKID_clean.cif,2.9
HIQNAY_clean.cif,3.8
HIQNIG_clean.cif,2.8
HIQNUS_clean.cif,2.9
HIQWOV_clean.cif,16.9
HISGAT_clean.cif,4.5
HISGIB_clean.cif,1.1
HISJAW_clean.cif,8.9
HISJIE_clean.cif,6.4
HISSIN_clean.cif,5.0
HITXUE.cif,3.3
HITXUE_clean.cif,3.3
HIVQAG_clean.cif,1.4
HIVSAI_clean.cif,4.4
HIWKEE_clean.cif,3.8
HIWKII_clean.cif,1.4
HIWLEG_clean.cif,1.6
HIWLIK_clean.cif,2.0
HIWLOO_clean.cif,1.4
HIWLOO_clean_h.cif,1.4
HIWLOQ_clean.cif,2.2
HIWLUW_clean.cif,1.1
HIWMAD_clean.cif,3.0
HIWXER01_SL.cif,2.4
HIWXER01_clean.cif,1.1
HIWXER_clean.cif,1.1
HIXDOH01_clean.cif,1.0
HIXDOH01_clean5b.cif,1.0
HIXDOH01_manual.cif,1.0
HIXDOH_clean.cif,0.4
HIYBUN_clean.cif,3.9
HIYLUY_clean.cif,7.3
HIYMAF_clean.cif,7.3
HIYMEJ_clean.cif,7.2
HIYYEU_clean.cif,3.6
HIYZEV01_clean.cif,1.5
HIYZEV_clean.cif,1.5
HIZQEN01_clean.cif,0.7
HIZQEN_clean.cif,0.7
HIZQUD_clean.cif,2.2
HIZSEQ_clean.cif,4.9
HIZTUG_clean.cif,16.4
HOBBEF_clean.cif,1.8
HOBGAH_clean.cif,2.9
HOBGEL_clean.cif,1.6
HOBGIP_clean.cif,1.3
HOBGOV_clean.cif,1.3
HOCDIO_clean.cif,1.0
HOCDOU_clean.cif,1.0
HODWUS_clean.cif,1.7
HOFJIX_clean.cif,11.1
HOFMAS_clean.cif,4.8
HOFSOL_clean.cif,2.0
HOFSUS_clean.cif,1.6
HOGJET_clean.cif,13.0
HOGJIX_clean.cif,8.2
HOGJOD_clean.cif,9.0
HOGJUK_clean.cif,5.1
HOGLEV01_clean.cif,6.3
HOGPUQ_clean.cif,2.7
HOGQAX_clean.cif,2.6
HOGQEB_clean.cif,2.7
HOGQIF_clean.cif,1.2
HOGSIG_clean.cif,1.5
HOGTOM_clean.cif,2.7
HOHJAR_clean.cif,1.7
HOJHUL_clean.cif,2.2
HOJJUN_clean.cif,13.7
HOJLEY_clean.cif,1.5
HOJLID_clean.cif,11.2
HOJLUP_clean.cif,8.0
HOJNIF_clean.cif,6.3
HOJNOL_clean.cif,6.3
HOJNUR01_clean.cif,6.1
HOJNUR_clean.cif,6.3
HOJPAZ_clean.cif,6.3
HOJPED_clean.cif,6.2
HOJPIH_clean.cif,6.2
HOKGUJ_clean.cif,3.8
HOKLIE_clean.cif,10.4
HOLQIK_clean.cif,16.4
HOMRIL_clean.cif,3.6
HOMZEP_clean.cif,6.7
HONXAL_clean.cif,10.2
HOPHUP_clean.cif,0.6
HOPYEQ01_clean.cif,1.0
HOPYEQ_clean.cif,1.0
HOQMIL01_clean.cif,4.2
HOQMIL02_clean.cif,4.2
HOQMIL03_clean.cif,4.2
HOQMIL04_clean.cif,2.1
HOQMIL_clean.cif,4.4
HOQMUX_clean.cif,3.6
HOQNEI_clean.cif,4.0
HOQNOS_clean.cif,4.4
HORCOH_clean.cif,1.1
HORCUN_clean.cif,1.1
HORHAY_clean.cif,6.9
HORHEC_clean.cif,7.0
HORHIG_clean.cif,6.9
HOTFED_clean.cif,2.8
HOTWUJ_clean.cif,1.2
HOVGEG_clean.cif,4.7
HOVGIK_clean.cif,4.3
HOVJIN_clean.cif,1.0
HOVQAM_clean.cif,7.2
HOVQUG_clean.cif,11.1
HOWJEK_clean.cif,2.0
HOWPEQ_clean.cif,2.8
HOWPIU_clean.cif,1.7
HOWPOZ_clean.cif,3.6
HOWPUF_clean.cif,3.6
HOWQAM_clean.cif,4.7
HOWQEQ_clean.cif,3.1
HOWQOA_clean.cif,7.9
HOWROC_clean.cif,6.5
HOWSAP_clean.cif,4.6
HOWSET_clean.cif,10.9
HOWSIX_clean.cif,11.0
HOXGEH_clean.cif,3.3
HOXJIO_charged.cif,5.0
HOXKIP_clean.cif,3.3
HOXKUB_clean.cif,3.4
HOXRUJ_clean.cif,1.5
HOXSAQ_clean.cif,1.4
HOXSIY_clean.cif,1.9
HOXSUK_clean.cif,6.8
HOYREU_clean.cif,2.3
HOYRIY_clean.cif,2.2
HOYROE_clean.cif,2.8
HOYTUL_clean.cif,2.2
HOZBUV_clean.cif,1.5
HOZDIL_clean.cif,1.6
HOZFEJ_clean.cif,3.0
HOZFIN_clean.cif,6.7
HOZTOG_clean.cif,18.2
HOZXEB_clean.cif,6.7
HUBQEC_clean.cif,6.3
HUCBAJ_charged.cif,3.6
HUCBEN_clean5b.cif,1.9
HUCBEN_manual.cif,1.9
HUCFAO_clean.cif,2.4
HUCLIB_clean.cif,2.0
HUCSEF_clean.cif,9.9
HUCWOT_clean.cif,3.0
HUCWUZ_clean.cif,2.9
HUCXAG_clean.cif,2.9
HUCXEK_clean.cif,3.0
HUCXIO_clean.cif,2.9
HUCXOU_clean.cif,2.9
HUCXUA_clean.cif,2.9
HUDCEQ_clean.cif,2.3
HUDMAW_clean.cif,2.8
HUDMEA_clean.cif,2.8
HUDWUA_clean.cif,1.9
HUFHEX_clean.cif,12.0
HUFHIB_clean.cif,10.7
HUFHOH_clean.cif,12.2
HUFHUN_clean.cif,12.4
HUFJAV_clean.cif,11.4
HUFJEZ_clean.cif,9.5
HUFJID_clean.cif,7.3
HUFKUQ_clean.cif,18.1
HUFLUR_clean.cif,1.6
HUFMUS_clean.cif,1.7
HUFYIS_clean.cif,4.3
HUHBET_clean.cif,12.4
HUHBUJ_clean.cif,9.6
HUHJAW_clean.cif,0.7
HUHJOL_clean.cif,6.5
HUHNIJ_clean.cif,10.2
HUJGEA_clean.cif,9.0
HUJVOX_clean.cif,2.6
HUKQUZ_charged.cif,10.0
HUKRIO_clean.cif,1.0
HULRIR_clean.cif,9.5
HULTEN_clean.cif,4.6
HULTEP_clean.cif,11.1
HUMQUC_charged.cif,2.5
HUMWIX_clean.cif,11.7
HUNBEX_clean.cif,1.2
HUNBIB_clean.cif,1.9
HUNCUQ_clean.cif,5.7
HUNFIH_clean.cif,3.3
HUNFON_clean.cif,3.4
HUQGOR_clean.cif,8.8
HUQGUX_clean.cif,8.9
HUQHAE_clean.cif,8.9
HUQHEI_clean.cif,8.7
HUQHIM_clean.cif,15.0
HUQHOS_clean.cif,7.9
HURFEH_clean.cif,7.6
HURFIL_clean.cif,7.6
HURFOR_clean.cif,7.5
HURFUX_clean.cif,7.5
HURGAE_clean.cif,7.5
HURGEH_clean.cif,5.2
HURGOR_clean.cif,8.1
HURGUX01_clean.cif,2.5
HURGUX_clean.cif,2.5
HURNOX_clean.cif,0.8
HURQUG_clean.cif,1.6
HUSGAE_clean.cif,1.0
HUSJUC_clean.cif,2.1
HUSQES_clean.cif,2.3
HUTTIA_clean.cif,5.8
HUTZAX01.cif,5.2
HUTZEB_clean.cif,1.7
HUVHIR_clean.cif,1.6
HUVHOX_clean.cif,2.5
HUWDEJ_clean.cif,1.2
HUWHOY_clean.cif,3.9
HUWLUI_clean.cif,2.1
HUWPIA_clean.cif,10.8
HUWSUN_clean.cif,6.2
HUWZIK_clean.cif,1.4
HUXDOT_clean.cif,4.1
HUXHEP01_clean.cif,2.3
HUXHEP_clean.cif,2.3
HUXHUF_clean.cif,4.6
HUXWAY_clean.cif,3.3
HUYJOA_clean.cif,8.0
HUYJUG_clean.cif,11.5
HUYKAN_clean.cif,11.8
HUYKUH_clean.cif,15.2
HUYXOP_clean.cif,4.2
HUYXUV_clean.cif,4.3
HUZFEO_clean.cif,2.5
HUZFIS_charged.cif,4.3
HUZFOY_charged.cif,2.7
HUZKUJ_clean.cif,1.7
HUZLIY_clean.cif,3.6
HUZSOL01_clean.cif,9.4
HUZSOL_clean.cif,9.4
HUZSUR01_clean.cif,5.7
HUZSUR_clean.cif,5.7
IBABOF01_clean.cif,5.0
IBABOF_clean.cif,5.0
IBABUL_clean.cif,5.0
IBACAS_clean.cif,5.0
IBAPEJ_clean.cif,1.1
IBAPOS_clean.cif,6.1
IBAQAF_clean.cif,6.1
IBAQEJ_clean.cif,6.2
IBARUA_clean.cif,2.5
IBASAH_clean.cif,2.6
IBASEL_clean.cif,2.7
IBASOV_clean.cif,2.7
IBASUB_clean.cif,2.6
IBATAI_clean.cif,2.7
IBATEM_clean.cif,2.6
IBEYOE_clean.cif,2.2
IBICAZ_clean.cif,3.3
IBICED_clean.cif,3.3
IBICIH_clean.cif,3.3
IBICON_clean.cif,3.3
IBICUT_clean.cif,3.3
IBIDAA_clean.cif,3.3
IBIRES_clean.cif,8.0
IBITEU_clean.cif,6.9
IBITUK_clean.cif,2.3
IBIYOI_ion_b.cif,11.4
IBIYUO_clean.cif,17.5
IBOTAU_clean.cif,0.8
IBOTEY_clean.cif,18.1
IBOTIC_clean.cif,6.7
IBOTOI_clean.cif,4.4
IBOWIH_charged.cif,7.4
IBOZIK_clean.cif,3.1
IBUBAL_clean.cif,10.8
IBUBIT_clean.cif,8.2
IBUDOZ_clean.cif,0.9
IBURAZ_clean.cif,1.6
IBUYAH_clean.cif,3.7
ICAGAU_clean.cif,1.3
ICAGOK_clean.cif,6.1
ICALOP_clean.cif,3.8
ICALUV_clean.cif,5.3
ICAMEG_clean.cif,7.6
ICANAD_clean.cif,2.7
ICANEH_clean.cif,2.8
ICAVEP_clean.cif,3.6
ICAWUF_clean.cif,8.4
ICEGED_clean.cif,2.0
ICISAP_clean.cif,3.8
ICITIY_clean.cif,12.3
ICITUK_charged.cif,8.8
ICIVAS_clean.cif,4.7
ICIVEW_clean.cif,2.4
