Structures,Volume in nm3
AMIWOJ_clean.cif,2.1
AMIWUP_clean.cif,2.1
AMIXAW_clean.cif,2.0
AMIXEA_clean.cif,2.0
AMIZIG_clean.cif,3.3
AMODUC_clean.cif,7.4
AMOFAK_clean.cif,12.7
AMOYOR_clean.cif,1.6
AMOZAE_clean.cif,1.3
AMUCOB_clean.cif,1.3
AMUFAR_clean.cif,1.3
AMUFEV_clean.cif,1.1
AMUFIZ_clean.cif,1.1
AMUFOF_clean.cif,1.3
AMUPOP_clean.cif,8.2
AMUWIP_charged.cif,16.6
AMUWUB_clean.cif,3.5
AMUXAI_clean.cif,3.4
ANAWIX_clean.cif,3.5
ANAWOD_clean.cif,5.1
ANEHEI_clean.cif,3.7
ANENEN_clean.cif,1.8
ANENIR_clean.cif,1.8
ANEPIT_clean.cif,4.9
ANIDIL_clean.cif,8.5
ANOMOG_clean.cif,11.6
ANOMUM_clean.cif,3.2
ANONAT_manual.cif,3.3
ANUGEW_clean.cif,17.3
ANUGIA_clean.cif,5.4
ANUGOG_clean.cif,8.0
ANUGUM_clean.cif,3.4
APACAX_clean.cif,7.7
APARAM_clean.cif,3.8
APAYIB_clean.cif,6.3
APAYOH_clean.cif,6.3
APAYUN_clean.cif,6.5
APAZAU_clean.cif,8.2
APAZEY_clean.cif,8.3
APAZIC_clean.cif,8.6
APAZOI_clean.cif,4.9
APEBED_clean.cif,1.9
APEBEE_clean.cif,1.3
APEBII_clean.cif,13.2
APEBOO_clean.cif,13.6
APEBUU_clean.cif,10.9
APETAS_clean.cif,1.4
AQAJEI_clean.cif,5.3
AQALIO_clean.cif,2.3
AQALOU_clean.cif,2.3
AQEFOS_clean.cif,3.3
AQEFUY_clean.cif,6.1
AQEGUY_clean.cif,3.2
AQEQES_clean.cif,1.9
AQEQIW_clean.cif,1.9
AQERUL_clean.cif,10.9
AQETIA_clean.cif,2.4
AQETUM_clean.cif,1.9
AQIQAU_clean.cif,8.3
AQIQIC_clean.cif,5.3
AQIXUU_clean.cif,0.9
AQIXUV_clean.cif,5.8
AQMAND01_clean.cif,1.2
AQMAND_clean.cif,1.2
AQODOA_clean.cif,1.4
AQOLEZ_clean.cif,6.5
AQOLOJ_clean.cif,6.6
AQOMAW_clean.cif,6.7
AQOSEG_clean.cif,14.5
AQOTIK_clean.cif,0.7
AQUCOF_clean.cif,3.4
AQUCOG_clean.cif,4.5
AQUCUM_clean.cif,4.5
AQUDAS_clean.cif,3.4
AQUDAT_clean.cif,2.5
AQUDEX_clean.cif,2.5
AQUDIB_clean.cif,4.5
AQUDOH_clean.cif,2.5
ARADEE_clean.cif,4.9
ARAFEF_clean.cif,2.2
ARAFIJ_clean.cif,1.9
ARAFOP_clean.cif,1.6
ARAGOR_clean.cif,5.1
