,STRUCTURE_NAME,a,b,c,UnitCell
11893,XASFAY_clean,13.057,13.2639,19.965999999999998,1 1 1
11894,XASJUZ_clean,10.2846,10.2846,20.0277,2 2 1
11895,XASNUD_clean,23.3836,23.3836,23.3836,1 1 1
11896,XASPEP_clean,20.4968,20.4968,17.8183,1 1 1
11897,XATLIQ_clean,18.64,22.795,13.280999999999999,1 1 1
11898,XATZOK_clean,14.1504,19.257,19.43,1 1 1
11899,XATZUQ_clean,14.123,36.166,18.340999999999998,1 1 1
11900,XAVDEF_clean_h,14.4447,15.6609,20.4563,1 1 1
11901,XAVDUV_clean,20.276,7.5323,6.76,1 2 2
11902,XAVFEH_clean,19.805999999999997,7.3660000000000005,7.055,1 2 2
11903,XAVKIR_clean,41.4734,41.4734,41.4734,1 1 1
11904,XAVQIU01_clean,10.107000000000001,10.258,16.276,2 2 1
11905,XAVQIU_clean,10.124,10.280999999999999,16.33,2 2 1
11906,XAWBEE_clean,9.2713,14.453,9.996,2 1 2
11907,XAWVUN_clean,15.2563,16.069872,23.5937,1 1 1
11908,XAWZOM_clean,9.2506,18.77,19.695,2 1 1
11909,XAXBAB_clean,8.709,11.587,8.28,2 2 2
11910,XAXBEF_clean,8.391,11.831,8.842,2 2 2
11911,XAXQEU_clean,7.1622,9.094,9.749,2 2 2
11912,XAXQEU_SL,7.1622,9.094,9.749,2 2 2
11913,XAYMUF_charged,11.02,12.828,12.828,2 1 1
11914,XAYNAM_charged,15.1658,16.980999999999998,19.436,1 1 1
11915,XAZFEJ_clean,10.011000000000001,19.369,6.414,2 1 2
11916,XAZGAG_charged,6.542999999999999,29.401999999999997,16.849,2 1 1
11917,XAZGEK_clean,10.31,20.002,22.95,2 1 1
11918,XEBHOC_clean,15.376,19.8482,19.8482,1 1 1
11919,XECBUD_clean,11.558,11.617,11.841,2 2 2
11920,XECJUK_clean,6.2379999999999995,9.418,10.591,2 2 2
11921,XECJUK_clean5b,6.2379999999999995,9.418,10.591,2 2 2
11922,XEDGIY_clean,14.306,19.509,36.482,1 1 1
11923,XEDLUN01_clean,10.137,15.745,15.988,2 1 1
