STRUCTURE_NAME,Volume [nm^3],x_box [A],y_box [A],z_box [A],UnitCell,unit vector a,unit vector b,unit vector c,Framework Mass [g/mol],Framework Density [kg/m^3]
EREFEN01_clean,2.3938507894730767,13.00581,13.06829,13.82039,2 2 2,13.174100000000 1.369370779689 1.862921810169,0.000000000000 13.147881375634 1.527590232361,0.000000000000 0.000000000000 13.820391450722,1628.839637269716,1129.874639303064
EREFEN01_SL,2.3938507894730767,13.00581,13.06829,13.82039,2 2 2,13.174100000000 1.369370779689 1.862921810169,0.000000000000 13.147881375634 1.527590232361,0.000000000000 0.000000000000 13.820391450722,1638.919044808674,1136.866406139337
EREGOY_clean,6.3235652238440005,17.30600,19.51700,18.72200,2 2 2,17.306000000000 0.000000000000 0.000000000000,0.000000000000 19.517000000000 0.000000000000,0.000000000000 0.000000000000 18.722000000000,3349.443304853307,879.548185837722
ERELIX_clean,2.7724501654834497,11.45070,11.46350,21.12100,3 3 2,11.450700000000 0.000000000000 0.000000000000,0.000000000000 11.463500000000 0.000000000000,0.000000000000 0.000000000000 21.121000000000,2058.100316984001,1232.684115434258
ERIGER_clean,9.091353503491055,25.89511,25.89511,11.74150,1 1 3,29.901100000000 -14.950550000000 0.000000000000,0.000000000000 25.895112201099 0.000000000000,0.000000000000 0.000000000000 11.741500000000,7257.382646444215,1325.563342621232
ERIJUM_clean,5.9962913464355045,23.11654,20.68500,12.41907,2 2 2,23.342000000000 0.000000000000 -1.738756148540,0.000000000000 20.685000000000 0.000000000000,0.000000000000 0.000000000000 12.419071748561,4399.830181626412,1218.434526521253
ERIRIG_auto,35.745857426343846,32.10529,32.10529,30.03330,1 1 1,37.072000000000 -18.536000000000 0.000000000000,0.000000000000 32.105293769097 0.000000000000,0.000000000000 0.000000000000 30.033300000000,9187.561099574355,426.799134455688
ERIWAF_clean,7.152973833804819,16.07802,16.07802,23.96360,2 2 2,18.565300000000 -9.282650000000 0.000000000000,0.000000000000 16.078021428879 0.000000000000,0.000000000000 0.000000000000 23.963600000000,3620.689686184301,840.530887017509
EROCIZ_clean,7.180048490854371,15.66116,19.08291,19.82641,2 2 2,17.523800000000 -5.878658914325 -5.856514427886,0.000000000000 20.665937457784 -8.241491023344,0.000000000000 0.000000000000 19.826405239430,6038.651918407189,1396.566524649999
ERUFUS_clean,1.0319159112350118,7.26715,9.41711,14.02862,4 3 2,7.358000370000 0.000000136095 -2.225165361623,0.000000000000 9.997000060000 -4.998392745275,0.000000000000 0.000000000000 14.028615395591,937.719923524077,1508.960401593285
ERULEK_clean,16.69130154876339,24.03000,18.46660,37.50988,1 2 1,24.096700000000 0.000000000000 -2.796747694937,0.000000000000 18.466600000000 0.000000000000,0.000000000000 0.000000000000 37.509881342532,8037.480601576277,799.610968933620
ERUNIQ_clean,3.719797224923799,13.81470,13.81470,19.49110,2 2 2,13.814700000000 0.000000000000 0.000000000000,0.000000000000 13.814700000000 0.000000000000,0.000000000000 0.000000000000 19.491100000000,3064.615758698349,1368.061978146162
ERUNOW_clean,17.646547639275003,17.46750,17.46750,57.83600,2 2 1,17.467500000000 0.000000000000 0.000000000000,0.000000000000 17.467500000000 0.000000000000,0.000000000000 0.000000000000 57.836000000000,9397.504531716451,884.304427609464
ERUNUC_clean,35.26879292123485,22.00580,22.00580,72.83100,2 2 1,22.005800000000 0.000000000000 0.000000000000,0.000000000000 22.005800000000 0.000000000000,0.000000000000 0.000000000000 72.831000000000,13018.377579148946,612.936206166875
ERUVEU_clean,1.7463309436454881,20.85200,9.95280,8.10475,2 3 3,21.649200000000 0.000000000000 -2.262428362132,0.000000000000 9.952800000000 0.000000000000,0.000000000000 0.000000000000 8.104746206157,2332.436227706919,2217.850343775336
