x y z dist_to_nearest atom_1 atom_2 atom_3 atom_4
3.25941 7.86471 4.71223 1.22484 81 86 87 24
0.475755 7.82165 6.48254 1.22484 32 67 72 73
5.09155 -0.0917278 15.907 1.22484 16 39 44 45
2.30789 -0.134787 17.6773 1.22484 59 8 53 58
0.880177 -0.125911 1.64268 1.22697 63 19 116 30
1.90347 3.73905 12.8374 1.22697 6 77 27 98
4.68712 7.85583 20.7469 1.22697 35 91 14 104
3.66383 3.99087 9.55209 1.22697 110 11 49 22
2.39343 -0.113989 17.692 1.2305 8 54 60 53
5.17708 -0.112526 15.8923 1.2305 16 39 40 46
3.17387 7.84391 4.69755 1.2305 82 88 81 24
0.39022 7.84245 6.49721 1.2305 32 67 68 74
5.35981 6.966 9.62497 1.23311 94 20 66 26
2.57616 8.72037 1.5698 1.23311 28 34 80 95
0.207485 0.763927 12.7646 1.23312 10 38 92 4
2.99114 -0.990443 20.8197 1.23312 12 52 93 18
5.10965 -0.115489 15.9029 1.23378 16 39 45 48
0.45765 7.84541 6.48659 1.23378 32 67 73 76
2.326 -0.111026 17.6814 1.23378 59 8 62 53
3.2413 7.84095 4.70818 1.23378 90 81 87 24
1.0665 0.961215 4.83303 1.23557 51 103 107 112
1.71715 4.82618 16.0278 1.23557 106 65 109 113
4.5008 6.76871 17.5565 1.23557 100 79 115 119
3.85015 2.90375 6.36173 1.23557 37 97 101 118
2.35047 -0.103086 17.6856 1.23613 8 62 60 53
5.13412 -0.123429 15.8986 1.23613 16 39 46 48
0.433184 7.85335 6.49088 1.23613 32 67 76 74
3.21683 7.83301 4.70388 1.23613 88 90 81 24
2.67574 8.67012 1.59929 1.24136 28 80 81 95
5.45939 7.01625 9.59547 1.24136 67 94 20 66
2.89157 -0.940193 20.7902 1.24137 12 52 53 93
0.107915 0.713678 12.7941 1.24137 38 39 92 4
5.31743 9.71951 5.71701 1.25576 76 112 25 74
3.03352 1.76307 16.9118 1.25577 106 62 17 60
0.249871 -1.98959 16.6725 1.25577 9 46 48 100
2.53378 5.96685 5.47776 1.25577 33 88 90 118
0.195602 -2.63675 19.8366 1.2613 14 15 102 104
2.97925 2.41024 13.7477 1.2613 6 98 7 96
2.58805 5.31968 8.64181 1.2613 23 108 110 22
5.3717 10.3667 2.55295 1.2613 116 30 31 114
5.36474 6.49106 16.9791 1.26302 1 109 100 119
2.58109 5.10382 16.6052 1.26302 106 113 0 115
2.98621 2.6261 5.78433 1.26302 103 2 101 118
0.20256 1.23886 5.41044 1.26302 107 3 97 112
5.23446 4.81037 7.23061 1.28457 94 108 110 117
2.45081 10.876 3.96416 1.28457 116 95 114 111
0.332836 2.91955 15.1589 1.28457 98 105 92 96
3.11649 -3.14607 18.4254 1.28457 99 93 102 104
0.842981 -2.05724 20.1366 1.28884 14 15 93 102
3.62663 1.83073 13.4476 1.28884 6 7 92 96
4.72432 9.78716 2.25288 1.28884 30 31 95 114
1.94067 5.8992 8.94188 1.28884 23 94 108 22
3.85818 5.43591 6.96601 1.29836 23 78 110 118
1.70912 2.29401 15.4235 1.29836 50 98 106 7
4.49277 -2.52053 18.1608 1.29836 36 100 15 104
1.07453 10.2505 4.22876 1.29836 116 31 64 112
3.7536 0.998948 2.1291 1.30853 13 19 55 114
0.96995 2.86601 9.06566 1.30853 108 5 11 41
4.59735 4.86391 13.3239 1.30853 21 27 69 96
1.8137 6.73097 20.2604 1.30853 29 35 83 102
3.17213 10.1269 4.21487 1.31428 81 95 114 111
2.39517 -2.39696 18.1747 1.31428 99 53 93 102
0.388483 5.55948 6.9799 1.31428 67 94 108 117
5.17882 2.17045 15.4096 1.31428 105 39 92 96
4.4071 5.62098 14.7176 1.31533 21 109 113 0
3.94385 1.75601 3.52288 1.31533 103 107 13 3
1.62345 5.97391 18.8666 1.31533 1 29 115 119
1.1602 2.10895 7.67188 1.31533 2 97 101 5
5.39005 8.82637 5.63847 1.31607 31 32 76 74
2.6064 6.85999 5.55629 1.31607 88 90 23 24
2.9609 0.869932 16.8332 1.31607 7 8 62 60
0.177251 -1.09645 16.7511 1.31607 16 46 48 15
